English sense,ZWN Written form,Function,Zulu RG VP,Inherent polarity
abject,nyanyekayo,abject_1_A,UseV enyanyek_V,Pos
able,nekhono,able_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN khono_5_6_N)),Pos
aboriginal,emvelo,aboriginal_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN velo_9_10_N)),Pos
aboriginal,okuqala,aboriginal_2_A,UseV qal_V,Pos
aboriginal,amandulo,aboriginal_3_A,CopNPAssoc (DetCN (DetNum NumPl) (UseN ndulo_5_6_N)),Pos
abrupt,qubulisa,abrupt_1_A,UseV qubulis_V,Pos
absolute,phelele,absolute_1_A,UseVStative phelel_V,Pos
absolved,khululwe,absolved_1_A,UseVStative khululw_V,Pos
abstract,ngenakubambeka,abstract_1_A,CopNPAssoc (Deverb15 PPos (UseV bambek_V)),Neg
abstruse,endele,abstruse_1_A,UseVStative endel_V,Pos
abundant,ningi,abundant_1_A,CopAP (PositA ningi_A),Pos
acceptable,emukelekayo,acceptable_1_A,UseV mukelek_V,Pos
accessible,ngenekayo,accessible_1_A,UseV ngenek_V,Pos
accessible,finyelelekayo,accessible_2_A,UseV finyelelek_V,Pos
accidental,zenzekelayo,accidental_1_A,UseV enzekel_V,Pos
accurate,nembayo,accurate_1_A,UseV nemb_V,Pos
accusative,mangalela,accusative_1_A,UseV mangalel_V,Pos
achromatic,mhlophe,achromatic_1_A,CopAP (PositA mhlophe_R),Pos
acquitted,khululwe,acquitted_1_A,UseVStative khululw_V,Pos
acrimonious,nolaka,acrimonious_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN laka_11_N)),Pos
acrimonious,nenzondo,acrimonious_2_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN zondo_9_10_N)),Pos
active,dlangayo,active_1_A,UseV dlang_V,Pos
acute,bi,acute_1_A,CopAP (PositA bi_A),Pos
adequate,lungele,adequate_1_A,UseVStative lungel_V,Pos
admirable,bukekayo,admirable_1_A,UseV bukek_V,Pos
advance,phambili,advance_1_A,CopLocative (LocAdvLoc (LocNAdv phambili_LocN)),Pos
advised,cebisayo,advised_1_A,UseV cebis_V,Pos
aerial,semoyeni,aerial_1_A,CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN moya_3_4_N)))),Pos
aflutter,phakuzela,aflutter_1_A,UseV phakuzel_V,Pos
aggressive,hlaselayo,aggressive_1_A,UseV hlasel_V,Pos
aggressive,lwayo,aggressive_2_A,UseV lw_V,Pos
agile,sheshayo,agile_1_A,UseV shesh_V,Pos
agile,thambile,agile_2_A,UseVStative thamb_V,Pos
alert,qwashile,alert_1_A,UseVStative qwash_V,Pos
alike,fanayo,alike_1_A,UseV fan_V,Pos
alive,phaphamile,alive_1_A,UseVStative phapham_V,Pos
alive,philayo,alive_2_A,UseV phil_V,Pos
all important,balulekileyo,all_important_1_A,UseVStative balulek_V,Pos
allotted,abelwe,allotted_1_A,UseVStative belw_V,Pos
alone,dwa,alone_1_A,UseV endw_V,Pos
alone,ngenakulinganiswa,alone_2_A,CopNPAssoc (Deverb15 PPos (UseV linganisw_V)),Neg
alone,ngenakufaniswa,alone_3_A,CopNPAssoc (Deverb15 PPos (UseV fanisw_V)),Neg
alpha,okuqala,alpha_1_A,UseV qal_V,Pos
amazing,mangalisayo,amazing_1_A,UseV mangalis_V,Pos
ambidextrous,qhathayo,ambidextrous_1_A,UseV qhath_V,Pos
ambidextrous,khohlisayo,ambidextrous_2_A,UseV khohlis_V,Pos
ambitious,nebhongo,ambitious_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bhongo_5_6_N)),Pos
amenable,thobekile,amenable_1_A,UseVStative thobek_V,Pos
ample,khulu,ample_1_A,CopAP (PositA khulu_A),Pos
amusing,hlekisayo,amusing_1_A,UseV hlekis_V,Pos
amusing,jabulisayo,amusing_2_A,UseV jabulis_V,Pos
analgesic,dambisa,analgesic_1_A,UseV dambis_V,Pos
analogical,fanisa,analogical_1_A,UseV fanis_V,Pos
analogous,fanayo,analogous_1_A,UseV fan_V,Pos
ancestral,elifa,ancestral_1_A,UseV f_V,Pos
ancestral,ezinyanya,ancestral_2_A,UseV nyany_V,Pos
ancestral,okhokho,ancestral_3_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN khokho_1a_2a_N)),Pos
angry,thukuthele,angry_1_A,UseVStative thukuthel_V,Pos
announced,azisayo,announced_1_A,UseV zis_V,Pos
anticipated,lindelwe,anticipated_1_A,UseVStative lindelw_V,Pos
appealing,vusa uzwelo,appealing_1_A,ComplV2 vus_V2 (DetCN (DetNum NumSg) (UseN zwelo_11_N)),Pos
appealing,bongozayo,appealing_2_A,UseV bongoz_V,Pos
appeasing,xolisayo,appeasing_1_A,UseV xolis_V,Pos
appellative,thiya igama,appellative_1_A,ComplV2 thiy_V2 (DetCN (DetNum NumSg) (UseN gama_5_6_N)),Pos
appreciated,qondwa,appreciated_1_A,UseV qondw_V,Pos
appropriate,fanele,appropriate_1_A,UseVStative fanel_V,Pos
apt,phaphamile,apt_1_A,UseVStative phapham_V,Pos
archaic,amandulo,archaic_1_A,CopNPAssoc (DetCN (DetNum NumPl) (UseN ndulo_5_6_N)),Pos
arduous,bulalayo,arduous_1_A,UseV bulal_V,Pos
aroused,vusayo,aroused_1_A,UseV vus_V,Pos
arrant,bhedayo,arrant_1_A,UseV bhed_V,Pos
arriving,ngenayo,arriving_1_A,CopNPAssoc (UsePron they4_Pron),Neg
arrogant,qholoshayo,arrogant_1_A,UseV qholosh_V,Pos
articulate,cacile,articulate_1_A,UseVStative cac_V,Pos
ashamed,namahloni,ashamed_1_A,CopNPAssoc (DetCN (DetNum NumPl) (UseN hloni_6_N)),Pos
asleep,leleyo,asleep_1_A,UseVStative lal_V,Pos
assertive,phikelelayo,assertive_1_A,UseV phikelel_V,Pos
assigned,abelwe,assigned_1_A,UseVStative belw_V,Pos
at_leisure,ngaphangeli,at_leisure_1_A,UseV phangel_V,Neg
athirst,lambele,athirst_1_A,UseVStative lambel_V,Pos
athletic,omeleleyo,athletic_1_A,UseVStative omelel_V,Pos
atrocious,nonya,atrocious_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN nya_11_N)),Pos
attending,khonzayo,attending_1_A,UseV khonz_V,Pos
attenuate,phungulwe,attenuate_1_A,UseVStative phungulw_V,Pos
augmented,andisa,augmented_1_A,UseV andis_V,Pos
auspicious,thokozisayo,auspicious_1_A,UseV thokozis_V,Pos
automatic,zenzekelayo,automatic_1_A,UseV enzekel_V,Pos
auxiliary,sizayo,auxiliary_1_A,UseV siz_V,Pos
auxiliary,gcwaliselayo,auxiliary_2_A,UseV gcwalisel_V,Pos
available,tholakalayo,available_1_A,UseV tholakal_V,Pos
avid,bawela,avid_1_A,UseV bawel_V,Pos
awake,vukile,awake_1_A,UseVStative vuk_V,Pos
aware,qonda,aware_1_A,UseV qond_V,Pos
awful,sabekayo,awful_1_A,UseV sabek_V,Pos
awkward,ngazinzile,awkward_1_A,UseVStative zinz_V,Neg
bad,onakele,bad_1_A,UseVStative nakal_V,Pos
bad,ngenasimilo,bad_2_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN milo_7_8_N)),Neg
bad,bi,bad_3_A,CopAP (PositA bi_A),Pos
baffling,xakile,baffling_1_A,UseVStative xak_V,Pos
baffling,didekile,baffling_2_A,UseVStative didek_V,Pos
baffling,namaqhina,baffling_3_A,CopNPAssoc (DetCN (DetNum NumPl) (UseN qhina_5_6_N)),Pos
baking,tshisayo,baking_1_A,UseV etshis_V,Pos
balanced,lingene,balanced_1_A,UseVStative lingan_V,Pos
bald,nempandla,bald_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN phandla_9_10_N)),Pos
banal,ngenasithunzi,banal_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN thunzi_7_8_N)),Neg
banned,valwa umlomo,banned_1_A,ComplV2 valw_V2 (DetCN (DetNum NumSg) (UseN lomo_3_4_N)),Pos
barbarous,nonya,barbarous_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN nya_11_N)),Pos
barbarous,nobuqaba,barbarous_2_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN qaba_14_N)),Pos
baronial,nesithinzi,baronial_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN thinzi_7_8_N)),Pos
basal,esiseko,basal_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN seko_7_8_N)),Pos
bass,ebhasi,bass_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bhasi_5_6_N)),Pos
battered,khandiwe,battered_1_A,UseVStative khandiw_V,Pos
bedraggled,dilikayo,bedraggled_1_A,UseV dilik_V,Pos
bedraggled,ngcoliswe ngodaka,bedraggled_2_A,AdvVP (UseVStative ngcolisw_V) (InstrNPAdv (DetCN (DetNum NumSg) (UseN daka_11_10_N))),Pos
bedraggled,aphukile,bedraggled_3_A,UseVStative phuk_V,Pos
beguiled,thabathekisayo,beguiled_1_A,UseV thabathekis_V,Pos
believable,nokukholwa,believable_1_A,CopNPAssoc (Deverb15 PPos (UseV kholw_V)),Pos
bended,gobile,bended_1_A,UseVStative gob_V,Pos
beneficial,sizayo,beneficial_1_A,UseV siz_V,Pos
benighted,ngazi nto,benighted_1_A,ComplV2Nonspec az_V2 (DetCN (DetNum NumSg) (UseN tho_9_10_N)),Neg
benighted,hlwelwe,benighted_2_A,UseVStative hlwelw_V,Pos
benign,nobubele,benign_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bele_14_N)),Pos
benumbed,qobekile,benumbed_1_A,UseVStative nqobek_V,Pos
benumbed,diniwe,benumbed_2_A,UseVStative diniw_V,Pos
betting,dlalayo,betting_1_A,UseV ndlal_V,Pos
big,balulekileyo,big_1_A,UseVStative balulek_V,Pos
biological,zalayo,biological_1_A,UseV zal_V,Pos
black,ngenabisi,black_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bisi_11_N)),Neg
blackguardly,nobumenemene,blackguardly_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN menemene_14_N)),Pos
blamable,nokusolwa,blamable_1_A,CopNPAssoc (Deverb15 PPos (UseV solw_V)),Pos
blamable,nokusoleka,blamable_2_A,CopNPAssoc (Deverb15 PPos (UseV solek_V)),Pos
blameless,ngenasiphako,blameless_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN phako_7_8_N)),Neg
bland,ngenakunambitheka,bland_1_A,CopNPAssoc (Deverb15 PPos (UseV nambithek_V)),Neg
blank,engenambumbulu,blank_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bhumbulu_9_N)),Neg
bleak,banda,bleak_1_A,UseV band_V,Pos
bleary,nenkungu,bleary_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN nkungu_9_10_N)),Pos
blemished,nesici,blemished_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN ci_7_8_N)),Pos
blending,dibana,blending_1_A,UseV diban_V,Pos
blending,xuba,blending_2_A,UseV xub_V,Pos
blessed,sikelelekile,blessed_1_A,UseVStative kelelek_V,Pos
blessed,sikelelwe,blessed_2_A,UseVStative kelelw_V,Pos
blind,ngaboni,blind_1_A,UseV bon_V,Neg
blistering,thukayo,blistering_1_A,UseV thuk_V,Pos
bloody,negazi,bloody_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN gazi_5_6_N)),Pos
blue,dangele,blue_1_A,UseVStative dangal_V,Pos
blunt,ngesabi,blunt_1_A,UseV esab_V,Neg
bold,nesibindi,bold_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bindi_7_8_N)),Pos
boring,nesidina,boring_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN dina_7_8_N)),Pos
born,endalo,born_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN dalo_9_N)),Pos
bouncy,omeleleyo,bouncy_1_A,UseVStative omelel_V,Pos
bouncy,phila,bouncy_2_A,UseV phil_V,Pos
bouncy,philayo,bouncy_3_A,UseV phil_V,Pos
bound,valelwe,bound_1_A,UseVStative valelw_V,Pos
bracing,hlaziyayo,bracing_1_A,UseV hlaziy_V,Pos
brainy,nengqondo,brainy_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN qondo_9_10_N)),Pos
brave,nesibindi,brave_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bindi_7_8_N)),Pos
breathless,khefuza,breathless_1_A,UseV khefuz_V,Pos
brickle,viveka,brickle_1_A,UseV vivek_V,Pos
bright,hlakaniphile,bright_1_A,UseVStative hlakaniph_V,Pos
brisk,qupha,brisk_1_A,UseV quph_V,Pos
brisk,khawuleza,brisk_2_A,UseV khawulez_V,Pos
broad,cacile,broad_1_A,UseVStative cac_V,Pos
broad,vulekile,broad_2_A,UseVStative vulek_V,Pos
brutal,nenkohlakalo,brutal_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN khohlakalo_9_10_N)),Pos
built in,esimo,built_in_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN mo_7_8_N)),Pos
burdened,layishwe kakhulu,burdened_1_A,AdvVP (UseVStative layishw_V) kakhulu_Adv,Pos
burning,tshisayo,burning_1_A,UseV etshis_V,Pos
capable,nekhono,capable_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN khono_5_6_N)),Pos
capped,thweswe,capped_1_A,UseVStative thwesw_V,Pos
captious,nochuku,captious_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN chuku_11_N)),Pos
cardinal,balulekileyo,cardinal_1_A,UseVStative balulek_V,Pos
careless,ngakhathaleli,careless_1_A,UseV khathalel_V,Neg
cashable,nokuthengiswa,cashable_1_A,CopNPAssoc (Deverb15 PPos (UseV thengisw_V)),Pos
catchy,namaqhinga,catchy_1_A,CopNPAssoc (DetCN (DetNum NumPl) (UseN qhinga_5_6_N)),Pos
cathartic,khululayo,cathartic_1_A,UseV khulul_V,Pos
caucasian,mhlophe,caucasian_1_A,CopAP (PositA mhlophe_R),Pos
causeless,ngaphandle kwesizathu,causeless_1_A,CopLocative (LocAdvLoc (LocAdvNP (LocNNgaAdv phandle_LocN) (DetCN (DetNum NumSg) (UseN zathu_7_8_N)))),Pos
cautious,cophelelayo,cautious_1_A,UseV cophelel_V,Pos
ceaseless,ngenamphelo,ceaseless_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN phelo_3_N)),Neg
celebrated,dumile,celebrated_1_A,UseVStative dum_V,Pos
central,phakathi,central_1_A,CopLocative (LocAdvLoc (LocNAdv phakathi_LocN)),Pos
certain,qinisekile,certain_1_A,UseVStative qinisek_V,Pos
characteristic,okuyizimpawu,characteristic_1_A,CopNP (DetCN (DetNum NumPl) (UseN phawu_11_10_N)),Pos
charged,zele,charged_1_A,UseVStative enzel_V,Pos
charismatic,thandekayo,charismatic_1_A,UseV thandek_V,Pos
charitable,nobubele,charitable_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN bele_14_N)),Pos
charitable,nesisa,charitable_2_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN sa_7_N)),Pos
charitable,esisa,charitable_3_A,UseV sis_V,Pos
chatty,qekethayo,chatty_1_A,UseV qeketh_V,Pos
cheap,shibhile,cheap_1_A,UseVStative shibh_V,Pos
chief,phambili,chief_1_A,CopLocative (LocAdvLoc (LocNAdv phambili_LocN)),Pos
